Clave de AGEE ,Nombre de AGEE ,Nombre abreviado de AGEE,Pob_total,Total de viviendas habitadas,Pob_masculina,Pob_femenina
"01","Aguascalientes","Ags.","1425607","386671","696683","728924"
"02","Baja California","BC","3769020","1149563","1900589","1868431"
"03","Baja California Sur","BCS","798447","240660","405879","392568"
"04","Campeche","Camp.","928363","260824","456939","471424"
"05","Coahuila de Zaragoza","Coah.","3146771","901249","1563669","1583102"
"06","Colima","Col.","731391","227050","360622","370769"
"07","Chiapas","Chis.","5543828","1351630","2705947","2837881"
"08","Chihuahua","Chih.","3741869","1146915","1853822","1888047"
"09","Ciudad de M�xico","CDMX","9209944","2757433","4404927","4805017"
"10","Durango","Dgo.","1832650","493989","904866","927784"
"11","Guanajuato","Gto.","6166934","1587234","2996454","3170480"
"12","Guerrero","Gro.","3540685","942509","1700612","1840073"
"13","Hidalgo","Hgo.","3082841","857462","1481379","1601462"
"14","Jalisco","Jal.","8348151","2332218","4098455","4249696"
"15","M�xico","Mex.","16992418","4569533","8251295","8741123"
"16","Michoac�n de Ocampo","Mich.","4748846","1285469","2306341","2442505"
"17","Morelos","Mor.","1971520","560941","950847","1020673"
"18","Nayarit","Nay.","1235456","361596","612278","623178"
"19","Nuevo Le�n","NL","5784442","1655690","2890950","2893492"
"20","Oaxaca","Oax.","4132148","1126544","1974843","2157305"
"21","Puebla","Pue.","6583278","1713865","3160115","3423163"
"22","Quer�taro","Qro.","2368467","668771","1156820","1211647"
"23","Quintana Roo","Q. Roo","1857985","575635","936779","921206"
"24","San Luis Potos�","SLP","2822255","775016","1372451","1449804"
"25","Sinaloa","Sin.","3026943","855271","1494815","1532128"
"26","Sonora","Son.","2944840","876826","1472197","1472643"
"27","Tabasco","Tab.","2402598","669414","1173671","1228927"
"28","Tamaulipas","Tamps.","3527735","1069380","1736140","1791595"
"29","Tlaxcala","Tlax.","1342977","341656","649894","693083"
"30","Veracruz de Ignacio de la Llave","Ver.","8062579","2391262","3871774","4190805"
"31","Yucat�n","Yuc.","2320898","658351","1140279","1180619"
"32","Zacatecas","Zac.","1622138","442835","791058","831080"
"","","","","","",""

